timestamp,fen
1764177831,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR
1764177831,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR
1764177831,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR
1764177865,rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR
1764177872,rnbqkbnr/ppp1pppp/8/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R
1764177879,r1bqkbnr/ppp1pppp/2n5/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R
1764177888,r1bqkbnr/ppp1pppp/2n5/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R
1764177895,r1bqkb1r/ppp1pppp/2n2n2/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R
1764177903,r1bqkb1r/ppp1pppp/2n2n2/3p4/3PP3/2N2N2/PPP2PPP/R1BQKB1R
1764177910,r1bqkb1r/ppp1pppp/2n2n2/8/3Pp3/2N2N2/PPP2PPP/R1BQKB1R
1764177924,r1bqkb1r/ppp1pppp/2n2n2/6B1/3Pp3/2N2N2/PPP2PPP/R2QKB1R
1764177931,r1bqkb1r/ppp2ppp/2n2n2/4p1B1/3Pp3/2N2N2/PPP2PPP/R2QKB1R
1764177933,r1bqkb1r/ppp2ppp/2n2n2/4P1B1/4p3/2N2N2/PPP2PPP/R2QKB1R
1764177948,rnbqkb1r/ppp2ppp/5n2/4P1B1/4p3/2N2N2/PPP2PPP/R2QKB1R
1764177950,rnbqkb1r/ppp2ppp/5B2/4P3/4p3/2N2N2/PPP2PPP/R2QKB1R
1764177951,rnbqkb1r/ppp2p1p/5p2/4P3/4p3/2N2N2/PPP2PPP/R2QKB1R
1764177952,rnbqkb1r/ppp2p1p/5p2/4P3/4p3/2N2N2/PPP2PPP/R1Q1KB1R
1764177965,r1bqkb1r/ppp2p1p/2n2p2/4P3/4p3/2N2N2/PPP2PPP/R1Q1KB1R
1764177977,r1bqkb1r/ppp2p1p/2n2p2/4P3/4N3/5N2/PPP2PPP/R1Q1KB1R
1764178244,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR
1764178249,rnbqkbnr/pppp1ppp/4p3/4P3/8/8/PPPP1PPP/RNBQKBNR
1764178254,rnbqkbnr/p1pp1ppp/1p2p3/4P3/8/8/PPPP1PPP/RNBQKBNR
